Food commodity ITEM,Product contains,Sector contains,Product not contains,Carbon Footprint kg CO2eq/kg or l of food ITEM
SPINACH,spinach,,,0.34
BEETROOT,beetroot,,,0.25
CARROT,carrot,,juice,0.24
GARLIC,garlic,,,0.71
ONION,onions,,,0.22
RADISH,radish,,,0.15
SWEDE,swede,,,0.29
TURNIP,turnip,,,0.35
ARTICHOKE,artichoke,,,0.33
BROCCOLI,broccoli,,,0.57
CAULIFLOWER,cauliflower,,,0.31
CELERY,celery,,,0.32
CUCUMBER,cucumber,,,0.27
EGGPLANT,aubergine,,,0.19
FENNEL,fennel,,,0.48
GERKIN,gherkin,,,0.21
PEPPER,"pepper,red",,,0.65
PUMPKIN,pumpkin,,,0.24
TOMATO,tomato,fruit,,0.45
VEGETABLES,,,,0.54
ZUCCHINI,courghettes,,,0.7
ALFONSINO,,,,3.49
ANCHOVY,anchov,,,0.82
ANGLERFISH,,,,12.29
CARP,carp,fish,,1.76
CATFISH,,,,8.93
COD,cod,fish,,3.08
DIAMOND FISH,,,,6.02
EEL,,,,3.88
FISH MIXED,,,,4.99
FLATFISH,,,,6.41
FLATHEAD,,,,2.56
FORK BEARD,,,,8.01
HADDOCK,haddock,fish,,3.1
HAKE,hake,fish,,10.4
HERRING,,,,1.24
LING,,,,6.45
MACKEREL,mackerel,fish,,1.8
MEGRIM,,,,14.15
PILCHARD,,,,1.1
PLAICE,plaice,fish,,6.13
POLLOCK,pollock,fish,,1.4
POMFRET,,,,6.63
PORBEAGLE,,,,11.44
RHOMBUS,,,,8.41
ROCK FISH,,,,6.94
SALMON,salmon,fish,,3.37
SARDINE,sardine,fish,,0.9
SEA-BASS,bass,fish,,3.6
SHARK,,,,11.44
SOLE,sole,fish,,5.4
SWARDFISH,,,,12.84
TROUT,,,,4.2
TUNA,tuna,fish,,3.68
TURBOT,turbot,fish,,14.51
WHITING,,,,2.66
COD (F),,,,3.03
FISH STICK (F),,,,2.26
HADDOCK (F),,,,3.72
HERRING (F),,,,1.3
MACKEREL (F),,,,0.99
MIXED FISH (F),,,,1.04
POLLOCK (F),,,,0.9
POLLOCK STICK (F),,,,2.14
SALMON (F),,,,1.61
SOLE (F),,,,14.28
TROUT (F),,,,4.38
TUNA (F),,,,2.64
COD FISH STICK,,,,2.14
HAKE FISH STICK,,,,2.14
MAKEREL FISH STICK,,,,1.02
TUNA IN CAN,"tuna,can",,,2.1
BARNACLE,,,,2.3
KRILL,,,,5.54
LOBSTER,lobster,,,20.25
MUSSELS,mussels,,,0.46
CUTTLEFISH,,,,5.05
OCTOPUS,octopus,,,5.8
SQUID,squid,,,6.91
PRAWNS/SHRIMPS,prawn or shrimp,,,7.04
OCTOPUS (F),,,,7.88
PRAWNS/SHRIMPS (F),,,,15.07
