uuid,name,path,link,num_products,date_updated,products_scraped,required,emissions_condition,emissions_default,temp_controlled
f0fb8c2c-fea2-4f22-a3e9-6f686648f877,Poop disposal,Pet>Dog & Puppy>Dog care & accessories>Poop disposal,https://www.sainsburys.co.uk/shop/gb/groceries/pet/poop-disposal,0,19/08/2021,0,1,,,0
e9af28cb-786c-42ad-a853-bf053a4f4478,Summer crafts & toys,Summer>Summer crafts & toys,https://www.sainsburys.co.uk/shop/gb/groceries/summer/summer-craft-and-toys,0,19/08/2021,0,1,,,
8b741dab-39ff-4bc4-b748-85b2eb0d7c99,Summer of sport,Summer>Summer of sport,https://www.sainsburys.co.uk/shop/gb/groceries/summer/summerofsport,0,19/08/2021,0,1,,,
a75cc0d7-0e35-4456-b7ff-a6f6ef2dfc86,Al fresco dining,Summer>Al fresco dining,https://www.sainsburys.co.uk/shop/gb/groceries/summer/refresh-your-dish-,0,19/08/2021,0,1,,,
fbb20301-4180-4bc9-b843-ab3e17395e58,Aperitivo,Summer>Aperitivo,https://www.sainsburys.co.uk/shop/gb/groceries/summer/aperitivo,0,19/08/2021,0,1,,,
3e43f662-4bd0-4a74-9e21-c5597c9fedde,Summer Edition,Summer>Summer Edition,https://www.sainsburys.co.uk/shop/gb/groceries/summer/summer-highlights-,0,19/08/2021,0,1,,,
31a38fcf-48bc-49e1-a35c-d946f3eb3dce,Suncare & beauty,Summer>Suncare & beauty,https://www.sainsburys.co.uk/shop/gb/groceries/summer/suncare-toiletries,0,19/08/2021,0,1,,,
d659a996-6ef1-4a87-8cb9-35cbfad6e2b8,Special offers,Summer>Special offers,https://www.sainsburys.co.uk/shop/gb/groceries/summer/summer-special-offers,0,19/08/2021,0,1,,,
5caad51b-cfb4-4d6b-a667-5647fc0d4caf,All sale,Sale>All sale,https://www.sainsburys.co.uk/shop/gb/groceries/sale-/all-sale,0,19/08/2021,0,1,,,
126b048b-4a74-4dda-937b-23ca67d3f11a,Kitchen & dining,Sale>Kitchen & dining,https://www.sainsburys.co.uk/shop/gb/groceries/sale-/kitchen-dining,0,19/08/2021,0,1,,,
cd115721-3560-440e-8eef-b432f407f924,Shop by room,Sale>Shop by room,https://www.sainsburys.co.uk/shop/gb/groceries/sale-/sale-shop-by-room,0,19/08/2021,0,1,,,
36c85de9-4f12-4e0c-aa5d-af1d858c1592,Homeware,Sale>Homeware,https://www.sainsburys.co.uk/shop/gb/groceries/sale-/homewares,0,19/08/2021,0,1,,,
92454d0f-5041-4d14-bafe-127a1a3d7857,Top picks,Sale>Top picks,https://www.sainsburys.co.uk/shop/gb/groceries/sale-/sale-top-picks,0,19/08/2021,0,1,,,
adbba395-faa0-4f16-9838-c3215011fb94,Technology & electricals,Sale>Technology & electricals,https://www.sainsburys.co.uk/shop/gb/groceries/sale-/technology-electricals,0,19/08/2021,0,1,,,
1dcf35fb-4333-4ce1-8c4e-c2be3e8dc058,New,Seasonal inspiration>New,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/new-355373-44,0,19/08/2021,0,1,,,
d892d564-1066-4196-a59c-8dd91a8b2661,Dine in meal deal for two,Seasonal inspiration>Dine in meal deal for two,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/taste-the-difference-meal-deal-,0,19/08/2021,0,1,,,
364cb589-9c8c-4f2e-a897-672a538704ac,Aldi Price Match,Seasonal inspiration>Aldi Price Match,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/aldi-price-match,0,19/08/2021,0,1,,,
983f631c-01a7-4176-8ef8-860b37a6fb38,School shop,Seasonal inspiration>School shop,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/school-shop-,0,19/08/2021,0,1,,,
85b269d3-3eef-43c3-8815-3825df49460e,Supporting our British Para-athletes,Seasonal inspiration>Supporting our British Para-athletes,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/british-paralympics-,0,19/08/2021,0,1,,,
ec9b88a9-7e61-4d29-b39c-741823bc38e5,Top rated,Seasonal inspiration>Top rated,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/top-rated-44,0,19/08/2021,0,1,,,
7d63a962-2bdd-46d0-9258-96094f043ab8,Pub food & drink,Seasonal inspiration>Pub food & drink,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/pub-food-and-drink,0,19/08/2021,0,1,,,
3c5f36a4-bfae-4d22-b250-a03bf0066fa4,Coffee shop,Seasonal inspiration>Coffee shop,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/coffee-shop,0,19/08/2021,0,1,,,
265ef4ed-46ef-42ad-ad58-2df862d949f3,Cosy night in,Seasonal inspiration>Cosy night in,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/big-night-in,0,19/08/2021,0,1,,,
f52492e0-3383-4e72-9b75-c72b9e6d7a05,Bigger packs,Seasonal inspiration>Bigger packs,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/bigger-packs-,0,19/08/2021,0,1,,,
c74f2a71-1e42-442e-8917-ead0c5824d47,First shop essentials,Seasonal inspiration>First shop essentials,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/first-shop-essentials,0,19/08/2021,0,1,,,
a04abeab-344c-4c34-b65f-5b3ffd3662ba,About Nectar,Seasonal inspiration>About Nectar,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/nectar--,0,19/08/2021,0,1,,,
0adf84bf-ba99-4b4f-a7e4-bc4f7ed6b96e,Special offers,Seasonal inspiration>Special offers,https://www.sainsburys.co.uk/shop/gb/groceries/new---trending/new-trending-special-offers,0,19/08/2021,0,1,,,
6a52077f-64ad-4f9d-8b18-c6081475beec,Helping everyone eat better,Dietary & lifestyle>Helping everyone eat better,https://www.sainsburys.co.uk/shop/gb/groceries/dietary-and-lifestyle/eat-better,0,19/08/2021,0,1,,,
9301f2f9-2890-4414-b868-9717d7b64b1f,Vegetarian & plant based,Dietary & lifestyle>Vegetarian & plant based,https://www.sainsburys.co.uk/shop/gb/groceries/dietary-and-lifestyle/vegetarian-food,0,19/08/2021,0,1,,,
8f378fb2-ba6b-4884-ad2a-445f824fb879,Plant based drinks,Dietary & lifestyle>Plant based drinks,https://www.sainsburys.co.uk/shop/gb/groceries/dietary-and-lifestyle/plant-based-drinks,0,19/08/2021,0,1,,,
f7f55de7-9278-48c7-afe7-35c9b4085642,Gut loving food,Dietary & lifestyle>Gut loving food,https://www.sainsburys.co.uk/shop/gb/groceries/dietary-and-lifestyle/gut-loving-food,0,19/08/2021,0,1,,,
bdf97f19-41e8-4638-af76-0d6f91e00a5f,Sustainable seafood,Dietary & lifestyle>Sustainable seafood,https://www.sainsburys.co.uk/shop/gb/groceries/dietary-and-lifestyle/sustainable-seafood,0,19/08/2021,0,1,,,
54cbb45a-7c73-4bd9-993c-2e1973d6a68f,200 calories or less snacking,Dietary & lifestyle>200 calories or less snacking,https://www.sainsburys.co.uk/shop/gb/groceries/dietary-and-lifestyle/200-calories-or-less,0,19/08/2021,0,1,,,
110c9e22-65be-4fd7-9394-f2dc99c8a64e,Natural beauty,Dietary & lifestyle>Natural beauty,https://www.sainsburys.co.uk/shop/gb/groceries/dietary-and-lifestyle/natural-beauty-products,0,19/08/2021,0,1,,,
942321a8-f46a-4960-ab17-f178917142c9,Eco friendly,Dietary & lifestyle>Eco friendly,https://www.sainsburys.co.uk/shop/gb/groceries/dietary-and-lifestyle/eco-friendly-products,0,19/08/2021,0,1,,,
320cfd01-63af-49f8-9426-5fb29fd53b6a,Weight management,Dietary & lifestyle>Weight management,https://www.sainsburys.co.uk/shop/gb/groceries/dietary-and-lifestyle/weight-management,0,19/08/2021,0,1,,,
470f2365-d372-4de2-b1fd-b6bf42468092,Special offers,Dietary & lifestyle>Special offers,https://www.sainsburys.co.uk/shop/gb/groceries/dietary-and-lifestyle/special-offers-454372-44,0,19/08/2021,0,1,,,
0a4d1226-3da1-48c6-ab6f-f49cb63e7c96,Food cupboard,Price Lock>Food cupboard,https://www.sainsburys.co.uk/shop/gb/groceries/price-lock-/price-lock-food-cupboard,0,19/08/2021,0,1,,,0
edae2568-5d4f-4384-8a81-0ec2a4ab90b7,Drinks,Price Lock>Drinks,https://www.sainsburys.co.uk/shop/gb/groceries/price-lock-/price-lock-drinks,0,19/08/2021,0,1,,,
